id,title,disposition,hold_reason,file_count,audit_kind,url,folder_path
bts-shealed-previews-lrdata-behind-the-scenes,Shealed Previews.lrdata — Behind the Scenes,reject,machine artifact: Shealed BTS Previews.lrdata,2118,behind the scenes,https://drive.google.com/drive/folders/1fRV4iAWS6qeIiX4X6eXrFjzSFoJTGqO4,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 01 / Post Files / Sam / Lightroom / Shealed BTS 1 / Shealed BTS Previews.lrdata
b-roll-thumbnail-media-b-roll-december-2024,"Thumbnail Media — B-Roll, December 2024",reject,machine artifact: Carrie Drinkwine.fcpbundle,106,other,https://drive.google.com/drive/folders/1B6kiLuFSVrRVb4cqvTZ67aBA1x5qsJRU,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 06 Carrie Drinkwine Broll / Files / Carrie Drinkwine.fcpbundle / 12-22-24 / Render Files / Thumbnail Media
b-roll-a4m-red-carpet-m4root-premiere-december-2024,"A4M Red Carpet — M4ROOT — Premiere, December 2024",reject,machine artifact: PRIVATE,393,other,https://drive.google.com/drive/folders/1PibHhZeunm1YK--M3F5-hGFBgkYkShk8,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / B Roll / Video / FL1001 / PRIVATE / M4ROOT
b-roll-sunscreen-film-festival-a-cam-1-lolli-family-qna-b-ro,"SunScreen Film Festival — A_Cam_1_Lolli_Family_QNA — B-Roll, April 2024",merge,wrong granularity: A_Cam_1_Lolli_Family_QNA,18,other,https://drive.google.com/drive/folders/18x4vlmYe_c09gZJWDyGbhx1bLMWf_C0j,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 2 / A_Cam_1 / A_Cam_1_Lolli_Family_QNA
event-photography-sunscreen-film-festival-a-cam-1-lolli-fami,"SunScreen Film Festival — A_Cam_1_Lolli_Family_Screening — Premiere, April 2024",merge,wrong granularity: A_Cam_1_Lolli_Family_Screening,22,photography,https://drive.google.com/drive/folders/1Et3FxqycEiSVeE7DFlQqypuIfLl2qZnX,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 2 / A_Cam_1 / A_Cam_1_Lolli_Family_Screening
event-photography-sunscreen-film-festival-a-cam-1-lolly-fami,"SunScreen Film Festival — A_Cam_1_Lolly_Family_BioHack — Event Photography, April 2024",merge,wrong granularity: A_Cam_1_Lolly_Family_BioHack,79,photography,https://drive.google.com/drive/folders/1f23BAnPI1zlZtri2KULYF1ajFS9ZlyO7,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 2 / A_Cam_1 / A_Cam_1_Lolly_Family_BioHack
b-roll-sunscreen-film-festival-a-cam-2-george-farah-qna-b-ro,"SunScreen Film Festival — A_Cam_2_George_Farah_QNA — B-Roll, April 2024",merge,wrong granularity: A_Cam_2_George_Farah_QNA,19,other,https://drive.google.com/drive/folders/1iWw_alXY-m25RuVEUCxAE0N70N1pMyES,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 2 / A_Cam_2 / A_Cam_2_George_Farah_QNA
b-roll-sunscreen-film-festival-b-cam-3-bts-qna-b-roll-april-,"SunScreen Film Festival — B_Cam_3_BTS_QNA — B-Roll, April 2024",merge,wrong granularity: B_Cam_3_BTS_QNA,48,other,https://drive.google.com/drive/folders/1Jfd9k1fKMZWgeY0PxMn_PNXbEvuqYAQj,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 2 / B_Cam_3 / B_Cam_3_BTS_QNA
b-roll-sunscreen-film-festival-a-cam-1-lolli-family-getting-,"SunScreen Film Festival — A_Cam_1_Lolli_Family_Getting_Ready — B-Roll, April 2024",merge,wrong granularity: A_Cam_1_Lolli_Family_Getting_Ready,51,other,https://drive.google.com/drive/folders/1BxA5sicNy2JpFFVZyv7Hya48e1UcQdT1,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 1 / A_Cam_1 / A_Cam_1_Lolli_Family_Getting_Ready
event-photography-sunscreen-film-festival-a-cam-1-lolli-fami-1bwhg-,"SunScreen Film Festival — A_Cam_1_Lolli_Family_Opening — Event Photography, April 2024",merge,wrong granularity: A_Cam_1_Lolli_Family_Opening,112,photography,https://drive.google.com/drive/folders/1BwhG-r0FJyryr3eR6Mvvw8H5VabRCg4Z,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 1 / A_Cam_1 / A_Cam_1_Lolli_Family_Opening
